base_contrast,metric,n_models,n_positive,n_negative,n_zero,direction_consistent,all_significant,any_significant,median_rank_biserial,deltas,models
DPO_free→aware|bal_k0,ROUGE1_F1,3,0,3,0,True,False,True,-0.420447,-0.0439;-0.0348;-0.0187,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,ROUGE1_F1_NORM,3,0,3,0,True,False,True,-0.429549,-0.0440;-0.0370;-0.0186,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,ROUGE1_R,3,1,2,0,False,False,True,-0.134006,-0.0411;0.0236;-0.0063,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,ROUGE1_R_NORM,3,1,2,0,False,False,True,-0.13322,-0.0417;0.0240;-0.0059,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,SBERT,3,1,2,0,False,False,True,-0.327183,-0.0162;-0.0093;0.0082,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,SBERT_NORM,3,1,2,0,False,False,True,-0.276972,-0.0135;-0.0099;0.0063,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,SecFilled,3,0,3,0,True,True,True,-0.835845,-0.0703;-0.3990;-0.1132,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,SecPresence,3,0,3,0,True,False,True,-0.667774,-0.0038;-0.4124;-0.0256,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,SignalFilledRate,3,0,3,0,True,True,True,-0.8101851851851852,-0.0601;-0.4015;-0.0867,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,TransferRate,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,UAHE_Total,3,0,3,0,True,False,False,-0.197174,-0.0793;-0.0077;-0.0844,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,UAHE_per_1kTok,3,0,3,0,True,False,False,-0.110317,-0.1225;-0.0489;-0.3934,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,UnknownRate,3,3,0,0,True,False,True,0.7454545454545455,0.0070;0.4130;0.0281,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,CTQRS,3,2,1,0,False,False,False,0.002873,0.0083;0.0014;-0.0074,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,CondFilledRate,3,1,2,0,False,False,False,-0.027068,-0.0054;-0.0078;0.0047,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ContextSupportRate,3,0,3,0,True,False,False,-0.08661,-0.0329;-0.0140;-0.0244,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ContextUnattributedRate,3,3,0,0,True,False,False,0.088634,0.0355;0.0140;0.0244,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,IUHE_Total,3,1,2,0,False,False,False,-0.03666765412593397,0.0716;-0.2685;-0.0767,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,IUHE_per_1kTok,3,1,2,0,False,False,False,-0.050664136622390894,-0.2215;-0.6537;0.0030,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,NoSignalFilledRate,3,1,2,0,False,False,False,-0.04413472706155633,-0.0307;-0.0013;0.0013,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,PlaceholderRate,3,1,2,0,False,False,False,0.011904761904761904,-0.0141;0.0077;-0.0013,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,RAHE_Total,3,0,3,0,True,False,False,-0.08497211155378485,-0.1893;-0.1560;-0.0051,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,RAHE_per_1kTok,3,0,3,0,True,False,False,-0.10564811052417716,-0.8625;-0.5511;-0.3130,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ROUGE1_F1,3,3,0,0,True,False,False,0.024503,0.0109;0.0029;0.0042,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ROUGE1_F1_NORM,3,3,0,0,True,False,False,0.026824,0.0087;0.0013;0.0053,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ROUGE1_R,3,3,0,0,True,False,False,0.061613,0.0083;0.0044;0.0115,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,ROUGE1_R_NORM,3,3,0,0,True,False,False,0.052288,0.0064;0.0047;0.0120,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,SBERT,3,1,2,0,False,False,False,-0.004092,-0.0089;-0.0018;0.0022,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,SBERT_NORM,3,2,1,0,False,False,False,0.017039,-0.0075;0.0005;0.0039,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,SecFilled,3,2,1,0,False,False,False,0.028415,0.0128;-0.0077;0.0026,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,SecPresence,3,2,1,0,False,False,False,-0.011905,0.0141;-0.0083;0.0013,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,SignalFilledRate,3,2,1,0,False,False,False,0.04032729398012858,0.0117;-0.0068;0.0051,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,TransferRate,3,0,3,0,True,False,False,-0.06935417523652818,-0.0381;-0.0209;-0.0188,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,UAHE_Total,3,1,2,0,False,False,False,0.061396,0.2609;-0.1125;-0.0716,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,UAHE_per_1kTok,3,2,1,0,False,False,False,0.067724,0.6410;-0.1026;0.3159,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Dense→Lex|sft_k1,UnknownRate,3,1,2,0,False,False,False,0.00784313725490196,-0.0160;0.0090;-0.0013,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,CTQRS,3,2,1,0,False,False,False,0.05181,0.0002;0.0048;-0.0093,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,CondFilledRate,3,0,3,0,True,False,False,-0.276836,-0.0137;-0.0104;-0.0126,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ContextSupportRate,3,0,3,0,True,True,True,-0.970966,-0.4920;-0.3973;-0.2741,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ContextUnattributedRate,3,3,0,0,True,True,True,0.965116,0.4766;0.3973;0.2511,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,IUHE_Total,3,0,3,0,True,True,True,-0.762451583504215,-2.0384;-1.2583;-0.4476,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,IUHE_per_1kTok,3,0,3,0,True,True,True,-0.5915808248098132,-5.2636;-2.6835;-1.4953,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,NoSignalFilledRate,3,3,0,0,True,False,False,0.6324110671936759,0.0307;0.0303;0.0311,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,PlaceholderRate,3,3,0,0,True,False,False,0.5206149545772187,0.0332;0.0307;0.0352,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,RAHE_Total,3,0,3,0,True,True,True,-1.0,-3.1637;-2.3939;-1.6650,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,RAHE_per_1kTok,3,0,3,0,True,True,True,-1.0,-9.5072;-6.0052;-5.0009,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ROUGE1_F1,3,0,3,0,True,False,False,-0.089991,-0.0052;-0.0001;-0.0077,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ROUGE1_F1_NORM,3,0,3,0,True,False,False,-0.092866,-0.0065;-0.0011;-0.0071,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ROUGE1_R,3,0,3,0,True,False,False,-0.107511,-0.0104;-0.0070;-0.0058,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,ROUGE1_R_NORM,3,0,3,0,True,False,False,-0.01373,-0.0075;-0.0038;-0.0057,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,SBERT,3,1,2,0,False,False,False,-0.024534,-0.0030;0.0095;-0.0004,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,SBERT_NORM,3,2,1,0,False,False,False,0.032845,-0.0042;0.0098;0.0013,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,SecFilled,3,0,3,0,True,False,False,-0.369458,-0.0160;-0.0185;-0.0313,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,SecPresence,3,0,3,0,True,False,False,-0.373333,-0.0121;-0.0185;-0.0345,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,SignalFilledRate,3,0,3,0,True,False,False,-0.41545893719806765,-0.0256;-0.0234;-0.0286,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,TransferRate,3,0,3,0,True,True,True,-1.0,-0.6498;-0.5139;-0.3601,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,UAHE_Total,3,3,0,0,True,True,True,0.730595,1.1253;1.1356;1.2174,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,UAHE_per_1kTok,3,3,0,0,True,True,True,0.700062,4.2437;3.3217;3.5057,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoMask→HardMask|sft_dense_k1,UnknownRate,3,3,0,0,True,False,False,0.37846153846153846,0.0121;0.0192;0.0345,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,CTQRS,6,5,1,0,False,False,True,0.301596,0.0254;0.0516;-0.0123;0.0778;0.0043;0.0308,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,CondFilledRate,6,2,4,0,False,False,False,-0.09845799999999999,-0.0046;-0.0569;-0.0163;0.0759;-0.0078;0.0037,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,ContextSupportRate,6,6,0,0,True,True,True,0.6702635,0.1243;0.4011;0.0897;0.3920;0.1047;0.1975,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,ContextUnattributedRate,6,0,6,0,True,False,True,-0.513907,-0.0118;-0.0839;-0.0053;-0.0493;-0.0689;-0.0901,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,IUHE_Total,6,6,0,0,True,True,True,0.8624980310905941,1.0256;3.1228;0.6905;4.1049;0.4399;1.1893,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,IUHE_per_1kTok,6,6,0,0,True,False,True,0.7874599607915178,3.5254;10.9069;1.7676;10.3296;1.1358;2.9333,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
NoRAG→RAG|dpo_retr_bal,NoSignalFilledRate,6,5,1,0,False,False,True,0.6175490196078431,0.0192;0.0806;0.0239;-0.0094;0.0128;0.0708,llama-3.2-3b;llama-3.2-3b;mistral-7b-v0.3;mistral-7b-v0.3;qwen2.5-7b;qwen2.5-7b
